,Date_of_publication,Total_reported,Cases_level,Deceased,Deaths_level,Cases_Increase,Deaths_Increase
0,2020-02-28,1,Very Low,0,Very Low,,
1,2020-02-29,1,Very Low,0,Very Low,,
2,2020-03-01,3,Very Low,0,Very Low,,
3,2020-03-02,5,Very Low,0,Very Low,,
4,2020-03-03,4,Very Low,0,Very Low,,
5,2020-03-04,10,Very Low,0,Very Low,,
6,2020-03-05,17,Very Low,0,Very Low,,
7,2020-03-06,40,Very Low,0,Very Low,,
8,2020-03-07,50,Very Low,1,Very Low,,
9,2020-03-08,32,Very Low,1,Very Low,,
10,2020-03-09,61,Very Low,1,Very Low,,
11,2020-03-10,130,Very Low,0,Very Low,,
12,2020-03-11,123,Very Low,1,Very Low,,
13,2020-03-12,127,Very Low,0,Very Low,True,True
14,2020-03-13,113,Very Low,3,Very Low,True,True
15,2020-03-14,219,Very Low,3,Very Low,True,True
16,2020-03-15,173,Very Low,7,Very Low,True,True
17,2020-03-16,270,Low,4,Very Low,True,True
18,2020-03-17,288,Low,18,Low,True,True
19,2020-03-18,347,Low,16,Low,True,True
20,2020-03-19,396,Low,21,Low,True,True
21,2020-03-20,533,Low,29,Intermediate,True,True
22,2020-03-21,637,Low,31,Intermediate,True,True
23,2020-03-22,605,Low,43,Intermediate,True,True
24,2020-03-23,553,Low,32,Intermediate,True,True
25,2020-03-24,749,Low,62,High,True,True
26,2020-03-25,843,Low,80,High,True,True
27,2020-03-26,1007,Low,75,High,True,True
28,2020-03-27,1167,Low,114,High,True,True
29,2020-03-28,1146,Low,89,High,True,True
30,2020-03-29,1092,Low,125,High,True,True
31,2020-03-30,873,Low,90,High,True,True
32,2020-03-31,834,Low,172,Very High,True,True
33,2020-04-01,1008,Low,134,Very High,True,True
34,2020-04-02,1083,Low,164,Very High,True,True
35,2020-04-03,1020,Low,142,Very High,True,True
36,2020-04-04,1002,Low,177,Very High,True,True
37,2020-04-05,1099,Low,105,High,True,True
38,2020-04-06,945,Low,101,High,True,True
39,2020-04-07,782,Low,232,Very High,False,True
40,2020-04-08,959,Low,148,Very High,False,True
41,2020-04-09,1208,Low,145,Very High,False,True
42,2020-04-10,1327,Low,114,High,True,True
43,2020-04-11,1301,Low,134,Very High,True,False
44,2020-04-12,1171,Low,94,High,True,False
45,2020-04-13,959,Low,85,High,True,False
46,2020-04-14,862,Low,122,High,True,False
47,2020-04-15,730,Low,185,Very High,True,False
48,2020-04-16,1069,Low,185,Very High,True,False
49,2020-04-17,1234,Low,144,Very High,True,False
50,2020-04-18,1186,Low,144,Very High,False,False
51,2020-04-19,1023,Low,80,High,False,False
52,2020-04-20,748,Low,65,High,False,False
53,2020-04-21,716,Low,162,Very High,False,True
54,2020-04-22,708,Low,141,Very High,False,True
55,2020-04-23,874,Low,129,Very High,False,False
56,2020-04-24,805,Low,111,High,False,False
57,2020-04-25,647,Low,120,High,False,False
58,2020-04-26,651,Low,65,High,False,False
59,2020-04-27,405,Low,43,Intermediate,False,False
60,2020-04-28,193,Very Low,58,High,False,False
61,2020-04-29,388,Low,136,Very High,False,False
62,2020-04-30,507,Low,82,High,False,False
63,2020-05-01,478,Low,100,High,False,False
64,2020-05-02,437,Low,93,High,False,False
65,2020-05-03,338,Low,69,High,False,False
66,2020-05-04,201,Very Low,27,Intermediate,False,False
67,2020-05-05,319,Low,82,High,False,False
68,2020-05-06,319,Low,40,Intermediate,False,False
69,2020-05-07,361,Low,84,High,False,False
70,2020-05-08,319,Low,72,High,False,False
71,2020-05-09,288,Low,64,High,False,False
72,2020-05-10,242,Very Low,18,Low,False,False
73,2020-05-11,179,Very Low,16,Low,False,False
74,2020-05-12,195,Very Low,56,High,False,False
75,2020-05-13,223,Very Low,49,Intermediate,False,False
76,2020-05-14,274,Low,29,Intermediate,False,False
77,2020-05-15,202,Very Low,54,High,False,False
78,2020-05-16,194,Very Low,25,Low,False,False
79,2020-05-17,125,Very Low,11,Low,False,False
80,2020-05-18,148,Very Low,16,Low,False,False
81,2020-05-19,111,Very Low,21,Low,False,False
82,2020-05-20,187,Very Low,32,Intermediate,False,False
83,2020-05-21,254,Low,28,Intermediate,False,False
84,2020-05-22,184,Very Low,13,Low,False,False
85,2020-05-23,177,Very Low,22,Low,False,False
86,2020-05-24,173,Very Low,11,Low,False,False
87,2020-05-25,213,Very Low,8,Very Low,False,False
88,2020-05-26,129,Very Low,23,Low,True,False
89,2020-05-27,194,Very Low,15,Low,True,False
90,2020-05-28,178,Very Low,31,Intermediate,True,False
91,2020-05-29,178,Very Low,25,Low,True,False
92,2020-05-30,141,Very Low,21,Low,True,False
93,2020-05-31,176,Very Low,3,Very Low,False,False
94,2020-06-01,104,Very Low,6,Very Low,False,False
95,2020-06-02,95,Very Low,4,Very Low,False,False
96,2020-06-03,93,Very Low,12,Low,False,False
97,2020-06-04,188,Very Low,15,Low,False,False
98,2020-06-05,217,Very Low,13,Low,False,False
99,2020-06-06,190,Very Low,7,Very Low,False,False
100,2020-06-07,239,Very Low,3,Very Low,False,False
101,2020-06-08,166,Very Low,3,Very Low,True,False
102,2020-06-09,164,Very Low,16,Low,True,False
103,2020-06-10,181,Very Low,12,Low,True,False
104,2020-06-11,162,Very Low,3,Very Low,True,False
105,2020-06-12,207,Very Low,9,Very Low,True,False
106,2020-06-13,181,Very Low,4,Very Low,True,False
107,2020-06-14,144,Very Low,2,Very Low,True,False
108,2020-06-15,159,Very Low,6,Very Low,True,False
109,2020-06-16,134,Very Low,5,Very Low,False,False
110,2020-06-17,113,Very Low,4,Very Low,False,False
111,2020-06-18,124,Very Low,4,Very Low,False,False
112,2020-06-19,108,Very Low,3,Very Low,False,False
113,2020-06-20,90,Very Low,8,Very Low,False,False
114,2020-06-21,95,Very Low,1,Very Low,False,False
115,2020-06-22,68,Very Low,0,Very Low,False,False
116,2020-06-23,70,Very Low,6,Very Low,False,False
117,2020-06-24,80,Very Low,2,Very Low,False,False
118,2020-06-25,110,Very Low,3,Very Low,False,False
119,2020-06-26,93,Very Low,3,Very Low,False,False
120,2020-06-27,77,Very Low,2,Very Low,False,False
121,2020-06-28,66,Very Low,0,Very Low,False,False
122,2020-06-29,76,Very Low,2,Very Low,False,False
123,2020-06-30,57,Very Low,5,Very Low,False,False
124,2020-07-01,62,Very Low,3,Very Low,False,False
125,2020-07-02,75,Very Low,3,Very Low,False,False
126,2020-07-03,76,Very Low,2,Very Low,False,False
127,2020-07-04,65,Very Low,6,Very Low,False,True
128,2020-07-05,72,Very Low,1,Very Low,False,True
129,2020-07-06,41,Very Low,1,Very Low,False,True
130,2020-07-07,34,Very Low,4,Very Low,False,True
131,2020-07-08,57,Very Low,3,Very Low,False,True
132,2020-07-09,60,Very Low,2,Very Low,False,True
133,2020-07-10,65,Very Low,1,Very Low,False,True
134,2020-07-11,84,Very Low,4,Very Low,False,False
135,2020-07-12,95,Very Low,0,Very Low,False,False
136,2020-07-13,72,Very Low,0,Very Low,True,False
137,2020-07-14,98,Very Low,11,Low,True,True
138,2020-07-15,109,Very Low,1,Very Low,True,False
139,2020-07-16,119,Very Low,2,Very Low,True,False
140,2020-07-17,109,Very Low,2,Very Low,True,True
141,2020-07-18,145,Very Low,1,Very Low,True,True
142,2020-07-19,145,Very Low,0,Very Low,True,True
143,2020-07-20,183,Very Low,0,Very Low,True,True
144,2020-07-21,169,Very Low,1,Very Low,True,False
145,2020-07-22,170,Very Low,3,Very Low,True,False
146,2020-07-23,164,Very Low,0,Very Low,True,False
147,2020-07-24,155,Very Low,0,Very Low,True,False
148,2020-07-25,184,Very Low,1,Very Low,True,False
149,2020-07-26,213,Very Low,0,Very Low,True,False
150,2020-07-27,209,Very Low,1,Very Low,True,False
151,2020-07-28,224,Very Low,4,Very Low,True,True
152,2020-07-29,248,Very Low,2,Very Low,True,False
153,2020-07-30,341,Low,0,Very Low,True,True
154,2020-07-31,341,Low,0,Very Low,True,True
155,2020-08-01,431,Low,1,Very Low,True,True
156,2020-08-02,359,Low,1,Very Low,True,True
157,2020-08-03,372,Low,0,Very Low,True,True
158,2020-08-04,487,Low,2,Very Low,True,False
159,2020-08-05,428,Low,3,Very Low,True,False
160,2020-08-06,605,Low,0,Very Low,True,False
161,2020-08-07,517,Low,1,Very Low,True,False
162,2020-08-08,484,Low,3,Very Low,True,True
163,2020-08-09,577,Low,0,Very Low,True,False
164,2020-08-10,787,Low,0,Very Low,True,True
165,2020-08-11,620,Low,2,Very Low,True,True
166,2020-08-12,651,Low,2,Very Low,True,True
167,2020-08-13,576,Low,4,Very Low,True,True
168,2020-08-14,627,Low,2,Very Low,True,True
169,2020-08-15,656,Low,2,Very Low,True,True
170,2020-08-16,499,Low,3,Very Low,True,True
171,2020-08-17,486,Low,1,Very Low,True,True
172,2020-08-18,493,Low,3,Very Low,False,True
173,2020-08-19,553,Low,9,Very Low,False,True
174,2020-08-20,531,Low,5,Very Low,False,True
175,2020-08-21,533,Low,1,Very Low,False,True
176,2020-08-22,507,Low,5,Very Low,False,True
177,2020-08-23,455,Low,1,Very Low,False,True
178,2020-08-24,573,Low,3,Very Low,False,True
179,2020-08-25,416,Low,3,Very Low,False,True
180,2020-08-26,572,Low,8,Very Low,False,True
181,2020-08-27,508,Low,3,Very Low,False,False
182,2020-08-28,501,Low,3,Very Low,False,True
183,2020-08-29,503,Low,4,Very Low,False,False
184,2020-08-30,506,Low,0,Very Low,True,False
185,2020-08-31,526,Low,0,Very Low,False,False
186,2020-09-01,467,Low,6,Very Low,True,False
187,2020-09-02,720,Low,5,Very Low,True,False
188,2020-09-03,599,Low,3,Very Low,True,False
189,2020-09-04,743,Low,1,Very Low,True,False
190,2020-09-05,649,Low,5,Very Low,True,False
191,2020-09-06,920,Low,2,Very Low,True,False
192,2020-09-07,795,Low,0,Very Low,True,True
193,2020-09-08,968,Low,1,Very Low,True,False
194,2020-09-09,1140,Low,3,Very Low,True,False
195,2020-09-10,837,Low,2,Very Low,True,False
196,2020-09-11,1271,Low,3,Very Low,True,False
197,2020-09-12,1222,Low,1,Very Low,True,False
198,2020-09-13,1087,Low,1,Very Low,True,False
199,2020-09-14,1297,Low,2,Very Low,True,False
200,2020-09-15,1376,Low,2,Very Low,True,False
201,2020-09-16,1537,Low,3,Very Low,True,False
202,2020-09-17,1739,Low,5,Very Low,True,True
203,2020-09-18,1955,Low,6,Very Low,True,True
204,2020-09-19,1892,Low,4,Very Low,True,True
205,2020-09-20,1844,Low,3,Very Low,True,True
206,2020-09-21,2211,Low,2,Very Low,True,True
207,2020-09-22,2237,Low,10,Very Low,True,True
208,2020-09-23,2334,Low,8,Very Low,True,True
209,2020-09-24,2536,Intermediate,14,Low,True,True
210,2020-09-25,2764,Intermediate,17,Low,True,True
211,2020-09-26,2700,Intermediate,36,Intermediate,True,True
212,2020-09-27,2976,Intermediate,9,Very Low,True,True
213,2020-09-28,2901,Intermediate,9,Very Low,True,True
214,2020-09-29,3004,Intermediate,10,Very Low,True,True
215,2020-09-30,3286,Intermediate,14,Low,True,True
216,2020-10-01,3253,Intermediate,13,Low,True,True
217,2020-10-02,3804,Intermediate,10,Very Low,True,True
218,2020-10-03,3935,Intermediate,17,Low,True,False
219,2020-10-04,3983,Intermediate,5,Very Low,True,False
220,2020-10-05,4555,Intermediate,9,Very Low,True,False
221,2020-10-06,4519,Intermediate,29,Intermediate,True,False
222,2020-10-07,4972,Intermediate,26,Intermediate,True,False
223,2020-10-08,5783,Intermediate,12,Low,True,False
224,2020-10-09,5960,Intermediate,16,Low,True,True
225,2020-10-10,6478,Intermediate,20,Low,True,True
226,2020-10-11,6342,Intermediate,18,Low,True,True
227,2020-10-12,6803,Intermediate,13,Low,True,True
228,2020-10-13,7332,Intermediate,38,Intermediate,True,True
229,2020-10-14,7251,Intermediate,28,Intermediate,True,True
230,2020-10-15,7777,Intermediate,27,Intermediate,True,True
231,2020-10-16,7950,Intermediate,20,Low,True,True
232,2020-10-17,8105,Intermediate,26,Intermediate,True,True
233,2020-10-18,8148,Intermediate,13,Low,True,True
234,2020-10-19,7986,Intermediate,28,Intermediate,True,True
235,2020-10-20,8144,Intermediate,42,Intermediate,True,True
236,2020-10-21,8715,Intermediate,59,High,True,True
237,2020-10-22,9251,Intermediate,42,Intermediate,True,True
238,2020-10-23,9972,Intermediate,51,High,True,True
239,2020-10-24,8642,Intermediate,48,Intermediate,True,True
240,2020-10-25,10168,High,26,Intermediate,True,True
241,2020-10-26,10303,High,29,Intermediate,True,True
242,2020-10-27,10266,High,71,High,True,True
243,2020-10-28,8077,Intermediate,50,Intermediate,True,True
244,2020-10-29,10245,High,66,High,True,True
245,2020-10-30,11066,High,86,High,True,True
246,2020-10-31,9771,Intermediate,53,High,True,True
247,2020-11-01,8679,Intermediate,29,Intermediate,True,True
248,2020-11-02,8264,Intermediate,36,Intermediate,True,True
249,2020-11-03,7738,Intermediate,111,High,False,True
250,2020-11-04,7600,Intermediate,109,High,False,True
251,2020-11-05,6946,Intermediate,88,High,False,True
252,2020-11-06,7226,Intermediate,114,High,False,True
253,2020-11-07,6616,Intermediate,62,High,False,True
254,2020-11-08,5656,Intermediate,44,Intermediate,False,True
255,2020-11-09,4669,Intermediate,46,Intermediate,False,True
256,2020-11-10,4644,Intermediate,95,High,False,True
257,2020-11-11,5383,Intermediate,82,High,False,True
258,2020-11-12,5618,Intermediate,74,High,False,True
259,2020-11-13,6067,Intermediate,60,High,False,False
260,2020-11-14,5897,Intermediate,73,High,False,False
261,2020-11-15,5418,Intermediate,50,Intermediate,False,False
262,2020-11-16,4842,Intermediate,48,Intermediate,False,False
263,2020-11-17,4280,Intermediate,84,High,False,False
264,2020-11-18,4583,Intermediate,86,High,False,False
265,2020-11-19,5686,Intermediate,67,High,False,False
266,2020-11-20,5931,Intermediate,47,Intermediate,False,False
267,2020-11-21,6004,Intermediate,47,Intermediate,False,False
268,2020-11-22,5358,Intermediate,20,Low,False,False
269,2020-11-23,5181,Intermediate,64,High,False,False
270,2020-11-24,3947,Intermediate,89,High,False,False
271,2020-11-25,4910,Intermediate,72,High,True,False
272,2020-11-26,4468,Intermediate,75,High,False,False
273,2020-11-27,5751,Intermediate,81,High,False,False
274,2020-11-28,4465,Intermediate,54,High,False,True
275,2020-11-29,5565,Intermediate,25,Low,False,True
276,2020-11-30,4572,Intermediate,32,Intermediate,False,True
277,2020-12-01,4038,Intermediate,55,High,False,False
278,2020-12-02,4908,Intermediate,66,High,False,False
